seq	kind	requested_at_utc	received_at_utc	http_status	latest_ledger	horizon_date	body_bytes	records	sha256	stored_file	url
1	assets	2026-08-31T16:48:58Z	2026-08-31T16:48:59Z	200	64211652	Mon, 31 Aug 2026 16:48:59 GMT	2002	1	d1dc8e05b569642c1ad36f8adee490d8e0b258e28d053e51286f7ff3912845d8	bodies/BTCLN.GDPKQ2TS.json	https://horizon.stellar.org/assets?asset_code=BTCLN&asset_issuer=GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT
2	assets	2026-08-31T16:48:59Z	2026-08-31T16:49:00Z	200	64211652	Mon, 31 Aug 2026 16:49:00 GMT	2019	1	148870325175a7f16671aefe6b026da959395a54aff392b2a16480f3c255dc2d	bodies/DicInu.GDMNBJWZ.json	https://horizon.stellar.org/assets?asset_code=DicInu&asset_issuer=GDMNBJWZBNQFCDUDPTG4DFLLUT6WPTMALBNX63OIM2YP5RLULTCFCNEA
3	assets	2026-08-31T16:49:01Z	2026-08-31T16:49:02Z	200	64211652	Mon, 31 Aug 2026 16:49:02 GMT	2040	1	248ccb80c4ebdfb3e98a7fe79a4ce780e6008122322d6c12a15a989a5d544b52	bodies/LIBRE.GAYCCWKE.json	https://horizon.stellar.org/assets?asset_code=LIBRE&asset_issuer=GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY
4	assets	2026-08-31T16:49:02Z	2026-08-31T16:49:04Z	200	64211653	Mon, 31 Aug 2026 16:49:03 GMT	1995	1	45f43cdb0c9e1299c7fea21f3d31d55a273d8c62fa39a806a723f9888a36dd22	bodies/PAYBO.GDNUDY5L.json	https://horizon.stellar.org/assets?asset_code=PAYBO&asset_issuer=GDNUDY5LNUVCO55LLK6H2RCOILB6EO7UOVAOGDTV3FB7Y2U45TMAXD3D
5	assets	2026-08-31T16:49:04Z	2026-08-31T16:49:05Z	200	64211653	Mon, 31 Aug 2026 16:49:05 GMT	2088	1	3ddade708dfcc79f97490f2d2dc3307a54f166d34fca85b1687553e17682061c	bodies/PYUSD.GDQE7IXJ.json	https://horizon.stellar.org/assets?asset_code=PYUSD&asset_issuer=GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5
6	assets	2026-08-31T16:49:05Z	2026-08-31T16:49:07Z	200	64211653	Mon, 31 Aug 2026 16:49:06 GMT	2093	1	90735f2eb2181d7a29263b61c65d88061dff34fc15756fee1d894aff171fab8c	bodies/REAL8.GBVYYQ7X.json	https://horizon.stellar.org/assets?asset_code=REAL8&asset_issuer=GBVYYQ7XXRZW6ZCNNCL2X2THNPQ6IM4O47HAA25JTAG7Z3CXJCQ3W4CD
7	assets	2026-08-31T16:49:07Z	2026-08-31T16:49:08Z	200	64211653	Mon, 31 Aug 2026 16:49:08 GMT	1996	1	4849d7581ec44fb794d06419acc14da98895d1382b7c21b758f4f615d3d04a45	bodies/SCROOGE.GD2TQV2V.json	https://horizon.stellar.org/assets?asset_code=SCROOGE&asset_issuer=GD2TQV2VEAVBXMPR6YKFJLPXTA6AUBIWZ753NVLAKKAG6KVLJ5SPE6YA
8	assets	2026-08-31T16:49:09Z	2026-08-31T16:49:10Z	200	64211654	Mon, 31 Aug 2026 16:49:10 GMT	1984	1	f245e32e7f82c1aa04cd8270d11013219b8f18372ad48e2cecf9324ba23e2132	bodies/TRNPC.GBOCPMDD.json	https://horizon.stellar.org/assets?asset_code=TRNPC&asset_issuer=GBOCPMDDPVEROZINIDLCQYW3JVVKY7FWZTM2TSLLGAJ5OF4JB4WDHH7K
9	assets	2026-08-31T16:49:10Z	2026-08-31T16:49:11Z	200	64211654	Mon, 31 Aug 2026 16:49:11 GMT	2085	1	48159717aa392f28702204df78472fc8845e0b282e05a5292ddb7f32a8885ea2	bodies/USDGLO.GBBS25EG.json	https://horizon.stellar.org/assets?asset_code=USDGLO&asset_issuer=GBBS25EGYQPGEZCGCFBKG4OAGFXU6DSOQBGTHELLJT3HZXZJ34HWS6XV
10	assets	2026-08-31T16:49:12Z	2026-08-31T16:49:13Z	200	64211654	Mon, 31 Aug 2026 16:49:13 GMT	2079	1	1096760f53ceb469683eeca4adcf471cfb5d37eca4da5d9020bfdd65b29199d5	bodies/USTRY.GCRYUGD5.json	https://horizon.stellar.org/assets?asset_code=USTRY&asset_issuer=GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC
11	assets	2026-08-31T16:49:13Z	2026-08-31T16:49:15Z	200	64211655	Mon, 31 Aug 2026 16:49:14 GMT	2005	1	d618eb63bf381cb7ba08c75f0fa2f9002ba2ebdbaa04a67e821885628541544a	bodies/XLMFISHz.GBLLGU7T.json	https://horizon.stellar.org/assets?asset_code=XLMFISHz&asset_issuer=GBLLGU7TWV4QKUKNQ7IAXC7VA55PLBY7LZSAKUQW2WBLUVHI3475SLGZ
12	assets	2026-08-31T16:49:15Z	2026-08-31T16:49:16Z	200	64211655	Mon, 31 Aug 2026 16:49:16 GMT	2088	1	859ab683b4286de84d2b1f3c6e130632c8f714356f69dc32b8a15b36164f4090	bodies/yUSDC.GDGTVWSM.json	https://horizon.stellar.org/assets?asset_code=yUSDC&asset_issuer=GDGTVWSM4MGS4T7Z6W4RPWOCHE2I6RDFCIFZGS3DOA63LWQTRNZNTTFF
