account_id,status,funder,first_op_id,first_op_type,first_op_created_at,first_op_ledger
GA2FOVTYGQEL26I3EJFQV3LWURSNRATCLVAWMXDBTY5E6XPT3TSV22G6,CREATION_BEFORE_RETAINED_HISTORY,,248696177150095424,payment,2025-07-08T05:56:22Z,57904091
GA2X4GX5DEW7FANH4AFVULQJ3SAQCGYVCL6N3OA7RGCEHKIWIJCZHPWV,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053318344409171,create_account,2026-04-18T17:18:40Z,62178196
GA36GCRWHPEQO67IGCBYSTKFPY4KUFJX65CFP6B6BSOEDFWQJEGB4A4V,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053309754581014,create_account,2026-04-18T17:18:29Z,62178194
GA3MZAUSXUJFLEQEMIK5QZXZJOT3XUIEHOK7OVGGOSSFFWTF2LVDC7X3,CREATION_BEFORE_RETAINED_HISTORY,,248698200079425537,path_payment_strict_send,2025-07-08T06:41:55Z,57904562
GA3NU3WXKKU4SJMZF6RQZOD2MIOCRQ77IT53TXTJPNPP3GPDEPKJYLAN,FUNDER_KNOWN,GCQJ7S55OJ3X5Q3B5GVRW4Q5WHUSL47LDUXQKXR7MWSRE7QQITKSEBRQ,250465291358715905,create_account,2025-08-04T15:01:18Z,58315995
GA52GNORRIE2ZNLIYV7TQMA75LCQDIMVUOACGEKPQTKE47CNOXLODWAS,CREATION_BEFORE_RETAINED_HISTORY,,248696623827181569,manage_sell_offer,2025-07-08T06:06:24Z,57904195
GA542INWZHMZHP4UPJZ7MG45BZQRVMCIONWVSXVBCQMZ7XAEJL2YOJWF,CREATION_BEFORE_RETAINED_HISTORY,,248698251620093953,path_payment_strict_send,2025-07-08T06:43:02Z,57904574
GA5RBG3ZICYRHJ6WDAWCIV6GSKKRCT2CKUQUWDBMRYFD7TJ4NMY77CQV,CREATION_BEFORE_RETAINED_HISTORY,,248697474230652929,path_payment_strict_send,2025-07-08T06:25:26Z,57904393
GA65TDIOSBUMEOVKV4HRQWTTJMCKDCH3XK7TOVBXXD6FGQMVUPRISXWD,CREATION_BEFORE_RETAINED_HISTORY,,248695167832702977,path_payment_strict_send,2025-07-08T05:34:15Z,57903856
GA6OFJO6XCCOYRWE6CWLRYBIYMNBBODAHKDHJYP42KMXMPBFQZNI4Y7C,CREATION_BEFORE_RETAINED_HISTORY,,249313866462351361,path_payment_strict_receive,2025-07-17T20:31:28Z,58047908
GA6QBLU7CMZ7XTQYPXS253323YBTKRP2YU2BUQP4VFUKUQGEXNGIOXSM,CREATION_BEFORE_RETAINED_HISTORY,,248722707163041793,path_payment_strict_receive,2025-07-08T15:42:03Z,57910268
GA6SYMFVLA74WVIHZNGLDQHET4APUQ5RDWX3Q46I56FC55PCI22PCLXY,CREATION_BEFORE_RETAINED_HISTORY,,248695270911520769,path_payment_strict_send,2025-07-08T05:36:31Z,57903880
GA6U5JBVNTC2EKQHPZ5MEDZGJCWXLKPSJG5HAGFFMVA3UTXV5GVTWOVA,CREATION_BEFORE_RETAINED_HISTORY,,248702258823888897,path_payment_strict_send,2025-07-08T08:12:13Z,57905507
GA6VKAKAQ6WTVZW5C45K773R7VWALJIBIHNGRVTRJA45PLKY5MN6GDOY,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053769316577378,create_account,2026-04-18T17:28:36Z,62178301
GA7EDMNIJATCVSIYJSS5XJPSS3DPEBQRBTGG5ZPLGMKMWPZJ5F27IFQQ,CREATION_BEFORE_RETAINED_HISTORY,,248702391967473665,path_payment_strict_send,2025-07-08T08:15:11Z,57905538
GA7JBOZ7DQ5QQWSHZHAGL5DSB764O3PSDXIRPPO6DCGE25JTDL2NW5MC,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053223855624216,create_account,2026-04-18T17:16:33Z,62178174
GA7O3ZGCR6TL6PSSJJYGEPQRYF4JOPGWULTFTZVSVSGXUZIFNYH7SH3L,CREATION_BEFORE_RETAINED_HISTORY,,248864677307146241,path_payment_strict_receive,2025-07-10T20:28:03Z,57943323
GA7OUL2JINNCMOAX2VMATVLI3XWCQQTMOIUDWFHBOQCRKAQBDEQU7QKY,CREATION_BEFORE_RETAINED_HISTORY,,248702499341840423,payment,2025-07-08T08:17:32Z,57905563
GAAGOD2OIRYWLAENFO27YL6NTFRPAGBJBC6LFVADUWHQUOSL22KIKKKE,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053790790893588,create_account,2026-04-18T17:29:04Z,62178306
GAAIONDFMU2YT5JYRLRYD6ZB3G2X3IZLZSGO3BUABWAY7RWJOD346JDO,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053258215178299,create_account,2026-04-18T17:17:19Z,62178182
GAAPLO3QJLEATSXJNDKCLLABGCNVABPRXJDA35YXKCKGCQJ25IQWD5XR,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053275395313691,create_account,2026-04-18T17:17:42Z,62178186
GAAS5T3XLDLQ7BI6XVCHPTPPMDJYFB534XIL4WUVYWN2HDCOULYZFTY4,CREATION_BEFORE_RETAINED_HISTORY,,248697345382711297,path_payment_strict_send,2025-07-08T06:22:31Z,57904363
GAAXZMQL64IF7AHAEZA2MFQ4HG3LYOUGZQNCUZUIWNJPLSQLRAHN2AHP,CREATION_BEFORE_RETAINED_HISTORY,,248696507862925313,path_payment_strict_receive,2025-07-08T06:03:48Z,57904168
GAB63ICRW45I3OSNO4HDTEGD4GF5J7LU3H6EI4VLF7IQKFGQ6IMJFGGB,FUNDER_KNOWN,GDBIXGZ3EKI3M4DBM65ADLHVNYIOG7JXGOHW5DHUZQAXPORY3QNO2PNY,263573059099742209,create_account,2026-02-23T20:42:41Z,61367885
GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,FUNDER_KNOWN,GAAJAHDYZXW2FZDET5BSZUDTIVUWXT6HXSOZAQB64WJWR7WOSYNFGQMQ,253679198206619649,create_account,2025-09-23T18:46:25Z,59064291
GABGQYAH4JFP5F3LEZEDVUMWPHQK5NDFKQ25VUYBE4A2RFHZQ2OPVH7F,CREATION_BEFORE_RETAINED_HISTORY,,248697929496707073,path_payment_strict_send,2025-07-08T06:35:46Z,57904499
GABIOWBZG6IXN7ASBBCDPJ2KK5OWQ76UDV3PN4WPQT5MUCFCUQR4JZLE,CREATION_BEFORE_RETAINED_HISTORY,,248695253731991553,path_payment_strict_send,2025-07-08T05:36:09Z,57903876
GABP2PTDPCWKMDTT7VGG6HJM5DPPG6TQJUEGFUGO4YCZXTVUXUQ7XSI6,CREATION_BEFORE_RETAINED_HISTORY,,248699041893163009,path_payment_strict_send,2025-07-08T07:00:42Z,57904758
GAC6QV7NDADREIRHXU6LNE5LF4BQ2KTUAVPIVZX6YXPQE6ZOACHK5NUJ,CREATION_BEFORE_RETAINED_HISTORY,,248696155675123781,payment,2025-07-08T05:55:54Z,57904086
GACC2OBDFSU4CFD2WMW4S54BAYTMCDHQURSJSWUZFPQMCWZAFNME4OAI,FUNDER_KNOWN,GBUZ7BHRLQSBATYWRDJDLGNLX5ZOYAXR4JW53S6UGO5TEZHRQIX2CYR5,263710579658166273,create_account,2026-02-26T00:10:48Z,61399904
GACCB6RW6I4VXKO6FJUAS5COV3TNAJCVILKBSARVGVNIBBEVKVSGCBEM,FUNDER_KNOWN,GAWKH334YIMXL2UGMWZFMBW7QX5JNOGEEV7KEEYY34YHNNIAIUQTQZUA,267053769316577324,create_account,2026-04-18T17:28:36Z,62178301
