counter,id,ledger_close_time,base_amount,counter_amount,base_is_seller,price_n,price_d,trade_type
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276281132889772034-0,2026-09-08T04:49:15Z,0.0009864,0.0014159,True,14159,9864,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276279084190126082-1,2026-09-08T04:05:03Z,0.0009803,0.0013986,False,13986,9803,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276276807858216962-0,2026-09-08T03:15:57Z,0.0009890,0.0014196,True,14196,9890,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276276129252552706-0,2026-09-08T03:01:14Z,0.0009863,0.0014123,True,14123,9863,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276275751295930370-1,2026-09-08T02:53:05Z,0.0009803,0.0013952,False,13952,9803,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276274986790961154-1,2026-09-08T02:36:29Z,0.0009830,0.0014024,False,14024,9830,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276273805675692034-1,2026-09-08T02:10:55Z,0.0009856,0.0014095,False,14095,9856,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276269068326428674-0,2026-09-08T00:28:16Z,0.0009917,0.0014269,True,14269,9917,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276268282347458562-0,2026-09-08T00:11:16Z,0.0009890,0.0014195,True,14195,9890,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276267423353647106-1,2026-09-07T23:52:38Z,0.0009803,0.0013985,False,13985,9803,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276262140544393218-1,2026-09-07T21:58:10Z,0.0009830,0.0014057,False,14057,9830,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276260199218688002-0,2026-09-07T21:16:00Z,0.0009916,0.0014266,True,14266,9916,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276258446871969794-1,2026-09-07T20:37:59Z,0.0009829,0.0014055,False,14055,9829,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276257557813714946-1,2026-09-07T20:18:38Z,0.0009856,0.0014128,False,14128,9856,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276256466892492802-0,2026-09-07T19:54:50Z,0.0009916,0.0014301,True,14301,9916,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276255715273318402-0,2026-09-07T19:38:27Z,0.0009889,0.0014227,True,14227,9889,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276243212625018882-1,2026-09-07T15:07:03Z,0.0009829,0.0014055,False,14055,9829,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276238097317662722-1,2026-09-07T13:15:55Z,0.0009817,0.0014072,False,14072,9817,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276238020008005634-1,2026-09-07T13:14:16Z,0.0009814,0.0014101,False,14101,9814,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276237427302502402-1,2026-09-07T13:01:26Z,0.0009811,0.0014131,False,14131,9811,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276224138673299458-0,2026-09-07T08:14:19Z,0.0009818,0.0014227,True,14227,9818,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276222880248053762-1,2026-09-07T07:47:08Z,0.0009758,0.0014055,False,14055,9758,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276221999779782658-1,2026-09-07T07:28:00Z,0.0009784,0.0014126,False,14126,9784,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276221166556270594-0,2026-09-07T07:09:56Z,0.0009844,0.0014299,True,14299,9844,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276220329037447170-0,2026-09-07T06:51:48Z,0.0009817,0.0014225,True,14225,9817,liquidity_pool
21Ent:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276218821503680514-1,2026-09-07T06:19:17Z,0.0009758,0.0014054,False,14054,9758,liquidity_pool
5x:GBN42AP5SK3IPTEJ2KAY7DLCAH6YQSMI3H6CCZLWW7KIJCYJ3X57JZ6R,276278203721973761-2,2026-09-08T03:46:05Z,0.0003253,1.9624438,False,19624438,3253,liquidity_pool
ANUINU:GBXN3ONPRC4TX4CQFYAOCMSFCZSUTR2U3GJWCVQ27Z2OKFWTW42HE2ZK,276237242619465729-1,2026-09-07T12:57:25Z,0.0085295,0.1265246,False,1265246,85295,liquidity_pool
ANUINU:GBXN3ONPRC4TX4CQFYAOCMSFCZSUTR2U3GJWCVQ27Z2OKFWTW42HE2ZK,276218495086231555-1,2026-09-07T06:12:18Z,0.0010899,0.0162639,False,162639,10899,liquidity_pool
BASH:GBQ42A3K32ZFOKGB3JJCDXJW7LNAS3GEPQM7J43KYCR7OKVIUON7D65N,276244930610663425-2,2026-09-07T15:44:19Z,0.0099033,1139.2081609,True,11392081609,99033,liquidity_pool
BASH:GBQ42A3K32ZFOKGB3JJCDXJW7LNAS3GEPQM7J43KYCR7OKVIUON7D65N,276237272683900929-1,2026-09-07T12:58:05Z,0.0099645,1139.3838379,False,11393838379,99645,liquidity_pool
BASH:GBQ42A3K32ZFOKGB3JJCDXJW7LNAS3GEPQM7J43KYCR7OKVIUON7D65N,276237212554014721-1,2026-09-07T12:56:45Z,0.0094287,1082.3339148,False,10823339148,94287,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276278281031188481-2,2026-09-08T03:47:44Z,0.0098471,0.0075349,True,75349,98471,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276276137842384897-1,2026-09-08T03:01:25Z,0.0155456,0.0118428,True,118428,155456,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276244934905229313-2,2026-09-07T15:44:24Z,0.0157765,0.0119536,True,119536,157765,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276244286365749249-2,2026-09-07T15:30:24Z,0.0091040,0.0068683,True,68683,91040,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276243079479451649-2,2026-09-07T15:04:08Z,0.0110554,0.0083115,True,83115,110554,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276242654277713921-2,2026-09-07T14:54:52Z,0.0109262,0.0081833,True,81833,109262,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276235374308016129-2,2026-09-07T12:16:55Z,0.0264198,0.0196607,True,196607,264198,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276222605370556417-1,2026-09-07T07:41:07Z,0.0081475,0.0060273,True,60273,81475,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276219388439687171-1,2026-09-07T06:31:31Z,0.0010943,0.0008083,True,8083,10943,liquidity_pool
CODY:GAW55YAX46HLIDRONLOLUWP672HTFXW5WWTEI2T7OXVEFEDE5UKQDJAK,276219173691170819-1,2026-09-07T06:26:54Z,0.0010926,0.0008067,True,8067,10926,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276277589542076417-2,2026-09-08T03:32:50Z,0.0545716,955354.5701473,True,9553545701473,545716,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276276004699004929-1,2026-09-08T02:58:32Z,0.0640323,1116662.3112622,True,11166623112622,640323,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276275884440100865-2,2026-09-08T02:55:56Z,0.0172246,299589.1950512,True,2995891950512,172246,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276274016128937985-2,2026-09-08T02:15:27Z,0.0100885,175316.0225511,True,1753160225511,100885,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276263218580660225-1,2026-09-07T22:21:33Z,0.0163813,283021.5267998,False,2830215267998,163813,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276262922228416513-1,2026-09-07T22:15:08Z,0.0139773,241724.5778188,False,2417245778188,139773,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276244973560123393-2,2026-09-07T15:45:14Z,0.0283124,492358.2992616,True,4923582992616,283124,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276244694386810881-2,2026-09-07T15:39:13Z,0.0419677,728164.3541443,True,7281643541443,419677,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276243195443224577-2,2026-09-07T15:06:40Z,0.0736359,1272852.8764370,True,12728528764370,736359,liquidity_pool
Cleanshave:GCTZJCIPAJQ5OTNL5MJGA6ETMG7A3GOKYYZUO6JJPWUZCJSSUYNVAISG,276235932653826049-2,2026-09-07T12:29:03Z,0.0651270,1118716.4251807,False,11187164251807,651270,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276278246671605761-2,2026-09-08T03:47:00Z,0.0114853,5.2928804,True,52928804,114853,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276277404857561090-1,2026-09-08T03:28:49Z,0.0144897,6.6677712,True,66677712,144897,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276276425605439489-2,2026-09-08T03:07:37Z,0.0104701,4.8114260,True,48114260,104701,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276276326820925442-0,2026-09-08T03:05:29Z,0.0010887,0.4999796,True,4999796,10887,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276263248645718017-1,2026-09-07T22:22:12Z,0.0110090,5.0282889,False,50282889,110090,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276263098321620993-1,2026-09-07T22:18:55Z,0.0102651,4.6940240,False,46940240,102651,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276262698889768963-2,2026-09-07T22:10:17Z,0.0010986,0.5026825,False,5026825,10986,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276261320205017091-2,2026-09-07T21:40:26Z,0.0010992,0.5030181,False,5030181,10992,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276260946543411203-2,2026-09-07T21:32:15Z,0.0011026,0.5046353,False,5046353,11026,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276260710320365571-2,2026-09-07T21:27:06Z,0.0011002,0.5035981,False,5035981,11002,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276260109024804867-2,2026-09-07T21:14:04Z,0.0011008,0.5039340,False,5039340,11008,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276256823375314945-1,2026-09-07T20:02:38Z,0.0182973,8.3852962,False,83852962,182973,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276256136179818497-2,2026-09-07T19:47:38Z,0.0264723,12.1618174,False,121618174,264723,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276255762517737475-2,2026-09-07T19:39:28Z,0.0010965,0.5045183,False,5045183,10965,liquidity_pool
DAWG:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276254534157561857-1,2026-09-07T19:12:44Z,0.0154194,7.1012298,False,71012298,154194,liquidity_pool
