open_at,close_at,open_ledger,close_ledger,seconds
2026-02-01T00:10:04Z,2026-02-01T00:11:23Z,61027099,61027113,79.0
2026-02-02T00:10:08Z,2026-02-02T00:11:23Z,61042050,61042063,75.0
2026-02-02T14:58:02Z,2026-02-02T14:58:14Z,61051291,61051293,12.0
2026-02-02T15:08:01Z,2026-02-02T15:08:12Z,61051390,61051392,11.0
2026-02-02T18:32:57Z,2026-02-02T18:33:15Z,61053462,61053465,18.0
2026-02-03T00:10:05Z,2026-02-03T00:11:48Z,61056906,61056923,103.0
2026-02-03T10:07:35Z,2026-02-03T10:09:00Z,61063019,61063033,85.0
2026-02-03T14:58:07Z,2026-02-03T14:58:20Z,61066006,61066008,13.0
2026-02-03T15:08:02Z,2026-02-03T15:08:13Z,61066107,61066109,11.0
2026-02-03T15:29:57Z,2026-02-03T15:31:29Z,61066332,61066348,92.0
2026-02-03T16:38:45Z,2026-02-03T16:39:02Z,61067039,61067042,17.0
2026-02-03T18:29:53Z,2026-02-03T18:31:15Z,61068179,61068193,82.0
2026-02-03T18:45:51Z,2026-02-03T18:47:38Z,61068344,61068362,107.0
2026-02-03T21:44:37Z,2026-02-03T21:45:54Z,61070178,61070191,77.0
2026-02-04T00:10:05Z,2026-02-04T00:11:25Z,61071694,61071708,80.0
2026-02-04T03:51:41Z,2026-02-04T03:53:05Z,61074031,61074046,84.0
2026-02-04T06:19:02Z,2026-02-04T06:19:07Z,61075583,61075584,5.0
2026-02-04T06:21:19Z,2026-02-04T06:21:24Z,61075607,61075608,5.0
2026-02-04T07:07:20Z,2026-02-04T07:07:27Z,61076095,61076096,7.0
2026-02-04T14:58:06Z,2026-02-04T14:58:17Z,61081049,61081051,11.0
2026-02-04T15:08:05Z,2026-02-04T15:08:17Z,61081150,61081152,12.0
2026-02-04T16:10:57Z,2026-02-04T16:11:28Z,61081786,61081791,31.0
2026-02-05T00:10:07Z,2026-02-05T00:10:19Z,61086676,61086678,12.0
2026-02-05T15:16:24Z,2026-02-05T15:17:38Z,61096092,61096105,74.0
2026-02-06T00:10:05Z,2026-02-06T00:11:22Z,61101515,61101528,77.0
2026-02-06T10:21:33Z,2026-02-06T10:22:31Z,61107992,61108002,58.0
2026-02-06T16:14:19Z,2026-02-06T16:14:43Z,61111657,61111661,24.0
2026-02-07T00:10:06Z,2026-02-07T00:11:18Z,61116582,61116594,72.0
2026-02-07T03:13:28Z,2026-02-07T03:13:45Z,61118487,61118490,17.0
2026-02-07T08:39:05Z,2026-02-07T08:40:07Z,61121935,61121946,62.0
2026-02-08T00:10:07Z,2026-02-08T00:11:22Z,61131952,61131964,75.0
2026-02-09T00:10:08Z,2026-02-09T00:11:22Z,61147098,61147111,74.0
2026-02-09T02:15:37Z,2026-02-09T02:17:27Z,61148405,61148424,110.0
2026-02-09T17:37:51Z,2026-02-09T17:39:21Z,61157959,61157975,90.0
2026-02-09T18:24:58Z,2026-02-09T18:25:14Z,61158443,61158446,16.0
2026-02-10T00:10:03Z,2026-02-10T00:11:51Z,61162013,61162032,108.0
2026-02-10T16:34:17Z,2026-02-10T16:50:03Z,61172219,61172383,946.0
2026-02-11T00:10:05Z,2026-02-11T00:11:22Z,61176902,61176915,77.0
2026-02-11T13:28:03Z,2026-02-11T13:28:14Z,61185126,61185128,11.0
2026-02-11T13:38:02Z,2026-02-11T13:38:13Z,61185229,61185231,11.0
2026-02-12T00:10:05Z,2026-02-12T00:11:27Z,61191718,61191732,82.0
2026-02-12T16:32:47Z,2026-02-12T16:34:09Z,61201811,61201825,82.0
2026-02-12T18:19:26Z,2026-02-12T18:20:34Z,61202903,61202915,68.0
2026-02-13T00:10:06Z,2026-02-13T00:11:33Z,61206486,61206500,87.0
2026-02-13T13:28:22Z,2026-02-13T13:28:34Z,61214698,61214700,12.0
2026-02-13T13:38:02Z,2026-02-13T13:38:15Z,61214797,61214799,13.0
2026-02-13T15:17:11Z,2026-02-13T15:18:28Z,61215822,61215835,77.0
2026-02-13T17:12:02Z,2026-02-13T17:13:13Z,61216998,61217010,71.0
2026-02-14T00:10:03Z,2026-02-14T00:11:24Z,61221332,61221346,81.0
2026-02-15T00:10:04Z,2026-02-15T00:11:29Z,61236185,61236199,85.0
2026-02-15T00:50:48Z,2026-02-15T00:51:05Z,61236602,61236605,17.0
2026-02-15T00:57:06Z,2026-02-15T00:57:25Z,61236667,61236670,19.0
2026-02-15T00:59:09Z,2026-02-15T00:59:26Z,61236688,61236691,17.0
2026-02-15T01:00:41Z,2026-02-15T01:00:58Z,61236704,61236707,17.0
2026-02-15T01:03:34Z,2026-02-15T01:03:46Z,61236733,61236735,12.0
2026-02-15T01:04:39Z,2026-02-15T01:04:56Z,61236744,61236747,17.0
2026-02-16T00:10:05Z,2026-02-16T00:11:26Z,61250961,61250975,81.0
2026-02-17T00:10:07Z,2026-02-17T00:11:47Z,61265694,61265711,100.0
2026-02-17T07:10:06Z,2026-02-17T07:10:18Z,61270010,61270012,12.0
2026-02-18T00:10:07Z,2026-02-18T00:10:24Z,61280501,61280504,17.0
2026-02-18T18:54:37Z,2026-02-18T18:55:45Z,61292101,61292113,68.0
2026-02-18T19:05:05Z,2026-02-18T19:05:24Z,61292209,61292212,19.0
2026-02-18T19:07:10Z,2026-02-18T19:08:34Z,61292230,61292244,84.0
2026-02-19T00:10:02Z,2026-02-19T00:11:24Z,61295347,61295361,82.0
2026-02-19T13:28:06Z,2026-02-19T13:28:24Z,61303637,61303640,18.0
2026-02-19T13:33:03Z,2026-02-19T13:33:16Z,61303688,61303690,13.0
2026-02-20T00:10:06Z,2026-02-20T00:11:22Z,61310249,61310262,76.0
2026-02-20T13:28:05Z,2026-02-20T13:28:16Z,61318490,61318492,11.0
2026-02-20T13:33:04Z,2026-02-20T13:33:16Z,61318541,61318543,12.0
2026-02-20T15:04:36Z,2026-02-20T15:05:58Z,61319487,61319501,82.0
2026-02-20T15:13:26Z,2026-02-20T15:14:00Z,61319578,61319584,34.0
2026-02-20T16:20:15Z,2026-02-20T16:21:36Z,61320265,61320279,81.0
2026-02-20T17:45:26Z,2026-02-20T17:47:02Z,61321140,61321157,96.0
2026-02-20T18:11:49Z,2026-02-20T18:13:08Z,61321412,61321426,79.0
2026-02-20T18:14:11Z,2026-02-20T18:15:58Z,61321437,61321455,107.0
2026-02-20T18:23:29Z,2026-02-20T18:24:45Z,61321533,61321546,76.0
2026-02-20T19:09:25Z,2026-02-20T19:10:40Z,61322005,61322018,75.0
2026-02-20T22:16:25Z,2026-02-20T22:18:02Z,61323971,61323988,97.0
2026-02-21T00:10:04Z,2026-02-21T00:11:32Z,61325181,61325196,88.0
2026-02-21T03:20:22Z,2026-02-21T03:22:01Z,61327211,61327229,99.0
2026-02-21T19:43:52Z,2026-02-21T19:45:19Z,61337506,61337521,87.0
2026-02-22T00:10:09Z,2026-02-22T00:11:28Z,61340261,61340274,79.0
2026-02-22T07:26:45Z,2026-02-22T07:26:51Z,61344756,61344757,6.0
2026-02-22T18:46:36Z,2026-02-22T18:48:37Z,61351798,61351819,121.0
2026-02-23T00:10:08Z,2026-02-23T00:11:26Z,61355135,61355148,78.0
2026-02-23T01:12:57Z,2026-02-23T01:14:06Z,61355781,61355793,69.0
2026-02-23T01:49:49Z,2026-02-23T01:51:22Z,61356161,61356177,93.0
2026-02-23T02:18:15Z,2026-02-23T02:19:34Z,61356457,61356471,79.0
2026-02-23T03:04:23Z,2026-02-23T03:05:43Z,61356941,61356955,80.0
2026-02-24T00:10:06Z,2026-02-24T00:11:56Z,61370021,61370040,110.0
2026-02-24T15:19:30Z,2026-02-24T15:19:47Z,61379482,61379485,17.0
2026-02-24T15:27:57Z,2026-02-24T15:28:08Z,61379569,61379571,11.0
2026-02-24T15:42:00Z,2026-02-24T15:42:19Z,61379716,61379719,19.0
2026-02-24T18:46:48Z,2026-02-24T18:48:17Z,61381643,61381658,89.0
2026-02-25T00:10:07Z,2026-02-25T00:11:15Z,61384994,61385006,68.0
2026-02-25T01:20:57Z,2026-02-25T01:21:56Z,61385729,61385739,59.0
2026-02-25T03:32:45Z,2026-02-25T03:34:30Z,61387094,61387112,105.0
2026-02-26T00:10:07Z,2026-02-26T00:11:23Z,61399897,61399910,76.0
2026-02-26T06:19:34Z,2026-02-26T06:21:08Z,61403727,61403743,94.0
2026-02-26T13:28:05Z,2026-02-26T13:28:16Z,61408185,61408187,11.0
2026-02-26T13:33:04Z,2026-02-26T13:33:16Z,61408237,61408239,12.0
2026-02-26T18:30:14Z,2026-02-26T18:31:20Z,61411311,61411322,66.0
