open_at,close_at,open_ledger,close_ledger,seconds
2026-02-01T00:12:50Z,2026-02-01T00:13:18Z,61027128,61027133,28.0
2026-02-01T01:12:48Z,2026-02-01T01:13:18Z,61027747,61027752,30.0
2026-02-01T02:12:49Z,2026-02-01T02:13:16Z,61028369,61028374,27.0
2026-02-01T03:12:53Z,2026-02-01T03:13:16Z,61028995,61028999,23.0
2026-02-01T04:12:49Z,2026-02-01T04:13:18Z,61029620,61029625,29.0
2026-02-01T05:12:45Z,2026-02-01T05:13:15Z,61030247,61030252,30.0
2026-02-01T06:12:44Z,2026-02-01T06:13:17Z,61030872,61030878,33.0
2026-02-01T07:12:47Z,2026-02-01T07:13:15Z,61031496,61031501,28.0
2026-02-01T08:12:46Z,2026-02-01T08:13:15Z,61032123,61032128,29.0
2026-02-01T09:12:46Z,2026-02-01T09:13:14Z,61032744,61032749,28.0
2026-02-01T10:12:45Z,2026-02-01T10:13:18Z,61033372,61033378,33.0
2026-02-01T11:12:47Z,2026-02-01T11:13:15Z,61033999,61034004,28.0
2026-02-01T12:12:45Z,2026-02-01T12:13:14Z,61034622,61034627,29.0
2026-02-01T13:12:47Z,2026-02-01T13:13:17Z,61035245,61035250,30.0
2026-02-01T14:12:47Z,2026-02-01T14:13:17Z,61035869,61035874,30.0
2026-02-01T15:12:46Z,2026-02-01T15:13:15Z,61036486,61036491,29.0
2026-02-01T16:12:47Z,2026-02-01T16:13:16Z,61037103,61037108,29.0
2026-02-01T17:12:48Z,2026-02-01T17:13:16Z,61037720,61037725,28.0
2026-02-01T18:12:44Z,2026-02-01T18:13:19Z,61038340,61038346,35.0
2026-02-01T19:12:46Z,2026-02-01T19:13:16Z,61038957,61038962,30.0
2026-02-01T20:12:44Z,2026-02-01T20:13:19Z,61039578,61039584,35.0
2026-02-01T21:12:44Z,2026-02-01T21:13:18Z,61040202,61040208,34.0
2026-02-01T22:12:45Z,2026-02-01T22:13:21Z,61040831,61040837,36.0
2026-02-01T23:12:49Z,2026-02-01T23:13:19Z,61041455,61041460,30.0
2026-02-02T00:12:49Z,2026-02-02T00:13:18Z,61042078,61042083,29.0
2026-02-02T01:12:44Z,2026-02-02T01:13:20Z,61042705,61042711,36.0
2026-02-02T02:12:47Z,2026-02-02T02:13:15Z,61043335,61043340,28.0
2026-02-02T03:12:47Z,2026-02-02T03:13:15Z,61043966,61043971,28.0
2026-02-02T04:12:45Z,2026-02-02T04:13:15Z,61044588,61044593,30.0
2026-02-02T05:12:49Z,2026-02-02T05:13:18Z,61045219,61045224,29.0
2026-02-02T06:12:50Z,2026-02-02T06:13:20Z,61045852,61045857,30.0
2026-02-02T07:12:46Z,2026-02-02T07:13:14Z,61046470,61046475,28.0
2026-02-02T08:12:46Z,2026-02-02T08:13:14Z,61047093,61047098,28.0
2026-02-02T09:12:47Z,2026-02-02T09:13:15Z,61047719,61047724,28.0
2026-02-02T10:12:44Z,2026-02-02T10:13:18Z,61048343,61048349,34.0
2026-02-02T11:12:48Z,2026-02-02T11:13:17Z,61048968,61048973,29.0
2026-02-02T12:12:46Z,2026-02-02T12:13:14Z,61049594,61049599,28.0
2026-02-02T13:12:48Z,2026-02-02T13:13:17Z,61050217,61050222,29.0
2026-02-02T14:12:50Z,2026-02-02T14:13:20Z,61050836,61050841,30.0
2026-02-02T15:12:45Z,2026-02-02T15:13:18Z,61051437,61051443,33.0
2026-02-02T16:12:48Z,2026-02-02T16:13:18Z,61052041,61052046,30.0
2026-02-02T17:12:45Z,2026-02-02T17:13:15Z,61052646,61052651,30.0
2026-02-02T18:12:47Z,2026-02-02T18:13:18Z,61053256,61053261,31.0
2026-02-02T19:12:45Z,2026-02-02T19:13:15Z,61053865,61053870,30.0
2026-02-02T20:12:50Z,2026-02-02T20:13:15Z,61054462,61054466,25.0
2026-02-02T21:12:47Z,2026-02-02T21:13:15Z,61055075,61055080,28.0
2026-02-02T22:12:47Z,2026-02-02T22:13:18Z,61055697,61055702,31.0
2026-02-02T23:12:45Z,2026-02-02T23:13:15Z,61056315,61056320,30.0
2026-02-03T00:12:45Z,2026-02-03T00:13:20Z,61056933,61056939,35.0
2026-02-03T01:12:49Z,2026-02-03T01:13:18Z,61057545,61057550,29.0
2026-02-03T02:12:45Z,2026-02-03T02:13:16Z,61058155,61058160,31.0
2026-02-03T03:12:48Z,2026-02-03T03:13:17Z,61058772,61058777,29.0
2026-02-03T04:12:48Z,2026-02-03T04:13:17Z,61059393,61059398,29.0
2026-02-03T05:12:45Z,2026-02-03T05:13:15Z,61060006,61060011,30.0
2026-02-03T06:12:50Z,2026-02-03T06:13:21Z,61060614,61060619,31.0
2026-02-03T07:12:45Z,2026-02-03T07:13:15Z,61061225,61061230,30.0
