open_at,close_at,open_ledger,close_ledger,seconds
2026-02-01T10:41:14Z,2026-02-01T10:41:25Z,61033669,61033671,11.0
2026-02-02T06:21:27Z,2026-02-02T06:21:50Z,61045941,61045945,23.0
2026-02-02T06:22:08Z,2026-02-02T06:22:26Z,61045948,61045951,18.0
2026-02-02T06:22:48Z,2026-02-02T06:23:16Z,61045955,61045960,28.0
2026-02-02T13:19:48Z,2026-02-02T13:20:43Z,61050290,61050299,55.0
2026-02-02T13:24:30Z,2026-02-02T13:25:05Z,61050338,61050344,35.0
2026-02-03T22:33:08Z,2026-02-03T22:34:05Z,61070682,61070692,57.0
2026-02-03T22:37:48Z,2026-02-03T22:38:10Z,61070730,61070734,22.0
2026-02-03T22:38:38Z,2026-02-03T22:39:07Z,61070739,61070744,29.0
2026-02-03T22:39:35Z,2026-02-03T22:39:47Z,61070749,61070751,12.0
2026-02-03T22:40:14Z,2026-02-03T22:40:42Z,61070756,61070761,28.0
2026-02-03T22:40:54Z,2026-02-03T22:41:11Z,61070763,61070766,17.0
2026-02-03T22:41:29Z,2026-02-03T22:41:57Z,61070769,61070774,28.0
2026-02-04T10:58:23Z,2026-02-04T10:58:56Z,61078535,61078541,33.0
2026-02-04T10:59:52Z,2026-02-04T11:00:09Z,61078551,61078554,17.0
2026-02-04T17:17:05Z,2026-02-04T17:17:24Z,61082457,61082460,19.0
2026-02-05T10:54:23Z,2026-02-05T11:02:54Z,61093350,61093437,511.0
2026-02-05T18:55:13Z,2026-02-05T18:59:02Z,61098304,61098341,229.0
2026-02-05T18:59:16Z,2026-02-05T19:00:30Z,61098343,61098355,74.0
2026-02-05T19:01:15Z,2026-02-05T19:01:33Z,61098362,61098365,18.0
2026-02-05T19:01:59Z,2026-02-05T19:02:25Z,61098369,61098373,26.0
2026-02-05T19:02:43Z,2026-02-05T19:03:03Z,61098376,61098379,20.0
2026-02-05T19:03:26Z,2026-02-05T19:03:38Z,61098383,61098385,12.0
2026-02-05T19:27:00Z,2026-02-05T19:27:47Z,61098618,61098626,47.0
2026-02-05T19:28:09Z,2026-02-05T19:29:02Z,61098630,61098639,53.0
2026-02-05T19:29:22Z,2026-02-05T19:30:00Z,61098642,61098648,38.0
2026-02-05T21:29:52Z,2026-02-05T21:30:41Z,61099862,61099871,49.0
2026-02-06T00:15:17Z,2026-02-06T00:15:42Z,61101567,61101571,25.0
2026-02-06T02:03:29Z,2026-02-06T02:03:52Z,61102684,61102688,23.0
2026-02-06T02:05:16Z,2026-02-06T02:05:39Z,61102703,61102707,23.0
2026-02-06T02:06:01Z,2026-02-06T02:06:35Z,61102711,61102717,34.0
2026-02-06T02:06:48Z,2026-02-06T02:07:10Z,61102719,61102723,22.0
2026-02-06T02:07:34Z,2026-02-06T02:08:03Z,61102727,61102732,29.0
2026-02-06T02:08:20Z,2026-02-06T02:08:56Z,61102735,61102741,36.0
2026-02-06T02:09:19Z,2026-02-06T02:09:36Z,61102745,61102748,17.0
2026-02-06T09:39:18Z,2026-02-06T09:39:35Z,61107542,61107545,17.0
2026-02-06T10:15:50Z,2026-02-06T10:16:13Z,61107931,61107935,23.0
2026-02-06T23:09:58Z,2026-02-06T23:10:33Z,61115957,61115963,35.0
2026-02-06T23:10:55Z,2026-02-06T23:11:12Z,61115967,61115970,17.0
2026-02-06T23:11:25Z,2026-02-06T23:11:54Z,61115972,61115977,29.0
2026-02-06T23:12:05Z,2026-02-06T23:12:16Z,61115979,61115981,11.0
2026-02-06T23:12:56Z,2026-02-06T23:13:13Z,61115988,61115991,17.0
2026-02-07T00:13:12Z,2026-02-07T00:13:29Z,61116614,61116617,17.0
2026-02-07T05:32:30Z,2026-02-07T05:44:42Z,61119959,61120088,732.0
2026-02-07T06:40:52Z,2026-02-07T06:41:47Z,61120684,61120694,55.0
2026-02-07T06:45:45Z,2026-02-07T06:46:09Z,61120736,61120740,24.0
2026-02-07T06:46:39Z,2026-02-07T06:48:17Z,61120745,61120762,98.0
2026-02-07T06:57:02Z,2026-02-07T06:57:38Z,61120854,61120860,36.0
2026-02-07T12:44:23Z,2026-02-07T12:58:15Z,61124585,61124736,832.0
2026-02-07T13:01:58Z,2026-02-07T13:02:15Z,61124776,61124779,17.0
2026-02-07T13:10:08Z,2026-02-07T13:10:33Z,61124865,61124869,25.0
2026-02-07T13:11:07Z,2026-02-07T13:11:35Z,61124875,61124880,28.0
2026-02-07T14:27:26Z,2026-02-07T14:28:21Z,61125699,61125709,55.0
2026-02-07T14:50:23Z,2026-02-07T14:50:45Z,61125947,61125951,22.0
2026-02-07T18:56:50Z,2026-02-07T18:57:29Z,61128616,61128623,39.0
2026-02-07T18:57:51Z,2026-02-07T18:58:46Z,61128627,61128637,55.0
2026-02-08T13:38:47Z,2026-02-08T13:39:42Z,61140540,61140549,55.0
2026-02-08T13:40:27Z,2026-02-08T13:40:54Z,61140557,61140562,27.0
2026-02-08T13:41:16Z,2026-02-08T13:41:45Z,61140566,61140571,29.0
2026-02-08T13:43:21Z,2026-02-08T13:43:45Z,61140588,61140592,24.0
2026-02-08T13:44:14Z,2026-02-08T13:44:30Z,61140597,61140600,16.0
2026-02-08T13:47:44Z,2026-02-08T13:48:07Z,61140634,61140638,23.0
2026-02-08T17:11:13Z,2026-02-08T17:11:47Z,61142755,61142761,34.0
2026-02-08T17:53:21Z,2026-02-08T17:54:36Z,61143195,61143208,75.0
2026-02-08T17:55:24Z,2026-02-08T17:55:57Z,61143216,61143222,33.0
2026-02-08T17:56:24Z,2026-02-08T17:56:52Z,61143227,61143232,28.0
2026-02-08T17:57:21Z,2026-02-08T17:57:38Z,61143237,61143240,17.0
2026-02-08T17:58:02Z,2026-02-08T17:58:20Z,61143244,61143247,18.0
2026-02-08T17:58:38Z,2026-02-08T17:59:02Z,61143250,61143254,24.0
2026-02-08T17:59:31Z,2026-02-08T18:00:13Z,61143259,61143266,42.0
2026-02-08T18:37:51Z,2026-02-08T18:38:30Z,61143657,61143664,39.0
2026-02-08T19:01:39Z,2026-02-08T19:02:58Z,61143905,61143919,79.0
2026-02-08T21:15:53Z,2026-02-08T21:16:09Z,61145299,61145302,16.0
2026-02-08T23:11:45Z,2026-02-08T23:12:22Z,61146495,61146501,37.0
2026-02-09T01:13:55Z,2026-02-09T01:14:12Z,61147764,61147767,17.0
2026-02-09T14:37:24Z,2026-02-09T14:37:36Z,61156119,61156121,12.0
2026-02-09T17:42:08Z,2026-02-09T17:42:45Z,61158003,61158009,37.0
2026-02-09T17:43:03Z,2026-02-09T17:43:31Z,61158012,61158017,28.0
2026-02-09T17:43:56Z,2026-02-09T17:44:52Z,61158021,61158031,56.0
2026-02-09T17:46:16Z,2026-02-09T17:46:34Z,61158045,61158048,18.0
2026-02-09T17:46:57Z,2026-02-09T17:47:55Z,61158052,61158062,58.0
2026-02-09T17:50:53Z,2026-02-09T17:51:11Z,61158093,61158096,18.0
2026-02-09T17:51:24Z,2026-02-09T17:51:52Z,61158098,61158103,28.0
2026-02-09T22:28:01Z,2026-02-09T22:31:09Z,61160951,61160984,188.0
2026-02-09T22:31:20Z,2026-02-09T22:31:37Z,61160986,61160989,17.0
2026-02-10T00:42:12Z,2026-02-10T00:42:24Z,61162349,61162351,12.0
2026-02-10T00:47:21Z,2026-02-10T00:47:44Z,61162402,61162406,23.0
2026-02-10T00:48:02Z,2026-02-10T00:48:18Z,61162409,61162412,16.0
2026-02-10T13:07:54Z,2026-02-10T13:08:23Z,61170099,61170104,29.0
2026-02-10T19:37:47Z,2026-02-10T19:38:09Z,61174105,61174109,22.0
2026-02-10T22:15:45Z,2026-02-10T22:16:03Z,61175724,61175727,18.0
2026-02-10T22:16:26Z,2026-02-10T22:17:58Z,61175731,61175747,92.0
2026-02-11T21:24:40Z,2026-02-11T21:25:10Z,61190017,61190022,30.0
2026-02-11T22:24:44Z,2026-02-11T22:25:09Z,61190635,61190639,25.0
2026-02-11T22:25:34Z,2026-02-11T22:26:03Z,61190643,61190648,29.0
2026-02-11T22:26:20Z,2026-02-11T22:26:59Z,61190651,61190658,39.0
2026-02-11T22:27:28Z,2026-02-11T22:28:50Z,61190663,61190677,82.0
2026-02-11T22:30:37Z,2026-02-11T22:31:01Z,61190695,61190699,24.0
2026-02-11T22:32:57Z,2026-02-11T22:44:29Z,61190719,61190839,692.0
2026-02-12T17:08:01Z,2026-02-12T17:21:42Z,61202171,61202310,821.0
2026-02-13T05:01:12Z,2026-02-13T05:01:28Z,61209463,61209466,16.0
2026-02-13T17:22:49Z,2026-02-13T17:24:15Z,61217108,61217123,86.0
2026-02-14T10:49:51Z,2026-02-14T10:54:12Z,61227977,61228023,261.0
2026-02-14T10:54:40Z,2026-02-14T10:57:51Z,61228028,61228061,191.0
2026-02-14T10:58:29Z,2026-02-14T10:58:53Z,61228068,61228072,24.0
2026-02-14T10:59:17Z,2026-02-14T10:59:34Z,61228076,61228079,17.0
2026-02-14T10:59:55Z,2026-02-14T11:00:14Z,61228083,61228086,19.0
2026-02-14T11:21:31Z,2026-02-14T11:21:56Z,61228306,61228310,25.0
2026-02-14T17:29:49Z,2026-02-14T17:30:17Z,61232112,61232117,28.0
2026-02-14T17:56:35Z,2026-02-14T17:56:53Z,61232387,61232390,18.0
2026-02-14T18:00:35Z,2026-02-14T18:00:59Z,61232428,61232432,24.0
2026-02-14T18:07:25Z,2026-02-14T18:07:42Z,61232498,61232501,17.0
2026-02-18T20:20:55Z,2026-02-18T20:21:17Z,61292987,61292991,22.0
2026-02-18T20:21:47Z,2026-02-18T20:22:57Z,61292996,61293008,70.0
2026-02-18T20:29:44Z,2026-02-18T20:30:02Z,61293077,61293080,18.0
2026-02-20T11:08:42Z,2026-02-20T11:09:15Z,61317050,61317056,33.0
2026-02-20T11:10:17Z,2026-02-20T11:10:45Z,61317067,61317072,28.0
2026-02-20T11:37:51Z,2026-02-20T11:38:14Z,61317351,61317355,23.0
2026-02-20T11:38:38Z,2026-02-20T11:38:55Z,61317359,61317362,17.0
2026-02-22T00:01:58Z,2026-02-22T00:02:15Z,61340178,61340181,17.0
2026-02-22T00:03:25Z,2026-02-22T00:04:41Z,61340193,61340206,76.0
2026-02-22T14:43:10Z,2026-02-22T14:43:28Z,61349282,61349285,18.0
2026-02-22T14:47:16Z,2026-02-22T14:47:29Z,61349325,61349327,13.0
2026-02-22T20:29:14Z,2026-02-22T20:29:37Z,61352854,61352858,23.0
2026-02-23T15:15:45Z,2026-02-23T16:08:36Z,61364530,61365074,3171.0
2026-02-24T17:04:33Z,2026-02-24T17:04:51Z,61380576,61380579,18.0
2026-02-24T17:05:09Z,2026-02-24T17:06:16Z,61380582,61380594,67.0
2026-02-24T22:14:55Z,2026-02-24T22:15:48Z,61383799,61383808,53.0
2026-02-24T22:38:57Z,2026-02-24T22:40:11Z,61384047,61384060,74.0
2026-02-24T22:41:45Z,2026-02-25T13:39:41Z,61384076,61393410,53876.0
2026-02-25T16:22:02Z,2026-02-25T16:22:20Z,61395079,61395082,18.0
2026-02-25T18:54:45Z,2026-02-25T18:55:44Z,61396646,61396656,59.0
2026-02-25T20:19:16Z,2026-02-25T20:19:33Z,61397517,61397520,17.0
2026-02-26T18:30:44Z,2026-02-26T19:17:03Z,61411316,61411800,2779.0
2026-02-27T03:59:27Z,2026-02-27T03:59:50Z,61417228,61417232,23.0
2026-02-27T04:00:44Z,2026-02-27T04:01:02Z,61417241,61417244,18.0
2026-02-27T04:01:44Z,2026-02-27T04:02:18Z,61417251,61417257,34.0
2026-02-27T11:33:57Z,2026-02-27T13:09:29Z,61421930,61422915,5732.0
