day,sample_source,target_ledger,sampled_at_utc,sample_offset_seconds,bids,asks,resting_offers,missing_offer_ids,fold_complete,price_source,p0,best_bid,best_ask,spread_pct,best_bid_amount,best_ask_amount,bid_amount_total,ask_amount_total,depth_buy_0.02,depth_sell_0.02,depth_buy_0.05,depth_sell_0.05,depth_buy_0.1,depth_sell_0.1,mc_cost_0.5,mc_target_0.5,mc_reachable_0.5,mc_cost_1,mc_target_1,mc_reachable_1,mc_cost_10,mc_target_10,mc_reachable_10,mc_cost_100,mc_target_100,mc_reachable_100,max_reachable_price,cost_to_max_reachable_price,band,band_confidence,flags,unevaluated_flags,methodology_version,data_source
2026-02-01,trades-csv,61027032,2026-02-01T00:03:32Z,212,1,0,1,203,false,none,,0.0189,,,264.5502645502645502645502645503,,264.5502645502645502645502645503,,,,,,,,,,,,,,,,,,,,,,CRITICAL,partial,NO_EXECUTABLE_PRICE,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_CHEAP MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D SPREAD_EXTREME THIN_DEPTH_5PCT WASH_TRADE_SUSPECTED ZERO_DEPTH_2PCT,1.0.8-draft,offers-implied
2026-02-02,trades-csv,61041997,2026-02-02T00:05:00Z,300,1,0,1,203,false,none,,0.0189,,,264.5502645502645502645502645503,,264.5502645502645502645502645503,,,,,,,,,,,,,,,,,,,,,,CRITICAL,partial,NO_EXECUTABLE_PRICE,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_CHEAP MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D SPREAD_EXTREME THIN_DEPTH_5PCT WASH_TRADE_SUSPECTED ZERO_DEPTH_2PCT,1.0.8-draft,offers-implied
2026-02-03,trades-csv,61056831,2026-02-03T00:02:44Z,164,2,1,3,203,false,book,1073741823.50945,0.0189,2147483647,199.99999999647960066634516055,264.5502645502645502645502645503,0.0000002,694.0469939502645502645502645503,0.0000002,0,0,0,0,0,0,0,1610612735.264175,true,429.4967294,2147483647.0189,false,429.4967294,11811160058.60395,false,429.4967294,108447924174.45445,false,2147483647,0,CRITICAL,partial,MANIPULATION_CHEAP SPREAD_EXTREME THIN_DEPTH_5PCT ZERO_DEPTH_2PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-04,trades-csv,61071606,2026-02-04T00:01:44Z,104,3,1,4,203,false,book,1073741824.0279153929402532,1.0558307858805064,2147483647,199.99999980333619083220946371,0.0000000947121464322574635281,0.0000002,694.0469940449766966968077280784,0.0000002,0,0,0,0,0,0,0,1610612736.0418730894103798,true,429.4967294,2147483648.0558307858805064,false,429.4967294,11811160064.3070693223427852,false,429.4967294,108447924226.8194546869655732,false,2147483647,0,CRITICAL,partial,MANIPULATION_CHEAP SPREAD_EXTREME THIN_DEPTH_5PCT ZERO_DEPTH_2PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-05,trades-csv,61086706,2026-02-05T00:12:59Z,779,5,2,7,203,false,book,1.0564124474081182,1.0559526613063394,1.056872233509897,0.08704670281136384256620866,0.1267992448017102836125369692,0.0737846,479.4254286844855368579641036975,0.0737848,0.0779808950006343461862,0.13389419999999999590473465212458782941711549,0.0779808950006343461862,0.13389419999999999590473465212458782941711549,0.0779808950006343461862,0.13389419999999999590473465212458782941711549,0.0779808950006343461862,1.5846186711121773,true,0.0779808950006343461862,2.1128248948162364,true,0.0779808950006343461862,11.6205369214893002,true,0.0779808950006343461862,106.6976571882199382,true,2147483647,0.0779808950006343461862,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-06,trades-csv,61101452,2026-02-06T00:03:59Z,239,6,1,7,203,false,book,1073741824.0279763306531697,1.0559526613063394,2147483647,199.99999980331348976514738691,0.000000189402429984480684142,0.0000002,694.2693505073527453308422383877,0.0000002,0,0,0,0,0,0,0,1610612736.04196449597975455,true,429.4967294,2147483648.0559526613063394,false,429.4967294,11811160064.3077396371848667,false,429.4967294,108447924226.8256093959701397,false,2147483647,0,CRITICAL,partial,MANIPULATION_CHEAP SPREAD_EXTREME THIN_DEPTH_5PCT ZERO_DEPTH_2PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-07,trades-csv,61116508,2026-02-07T00:02:56Z,176,5,1,6,203,false,book,1073741824.0279763306531697,1.0559526613063394,2147483647,199.99999980331348976514738691,0.000000189402429984480684142,0.0000001,694.0469943290862565588322508703,0.0000001,0,0,0,0,0,0,0,1610612736.04196449597975455,true,214.7483647,2147483648.0559526613063394,false,214.7483647,11811160064.3077396371848667,false,214.7483647,108447924226.8256093959701397,false,2147483647,0,CRITICAL,partial,MANIPULATION_CHEAP SPREAD_EXTREME THIN_DEPTH_5PCT ZERO_DEPTH_2PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-08,trades-csv,61132067,2026-02-08T00:21:02Z,1262,6,2,8,203,false,book,1.05664136753437105,1.0559526613063394,1.0573300737624027,0.13035761218372843233752389,0.000000189402429984480684142,0.3532525,694.0469968861854612159190018205,0.3532526,0.37350449188175315978175,0.00000309999999999999996961128388067945514419,0.37350449188175315978175,0.00000309999999999999996961128388067945514419,0.37350449188175315978175,0.00000309999999999999996961128388067945514419,0.37350449188175315978175,1.584962051301556575,true,0.37350449188175315978175,2.1132827350687421,true,0.37350449188175315978175,11.62305504287808155,true,0.37350449188175315978175,106.72077812097147605,true,2147483647,0.37350449188175315978175,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-09,trades-csv,61147341,2026-02-09T00:33:22Z,2002,6,2,8,203,false,book,1.0566709321262361,1.0559526613063394,1.0573892029461328,0.13594976412408610856066915,0.000000189402429984480684142,0.0000001,694.0469968861854612159190018205,0.0000003,0.00000010573892029461328,0.00000309999999999999996961128388067945514419,0.00000010573892029461328,0.00000309999999999999996961128388067945514419,0.00000010573892029461328,0.00000309999999999999996961128388067945514419,0.00000010573892029461328,1.58500639818935415,true,0.00000010573892029461328,2.1133418642524722,true,0.00000010573892029461328,11.6233802533885971,true,0.00000010573892029461328,106.7237641447498461,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-10,trades-csv,61161968,2026-02-10T00:05:45Z,345,7,3,10,203,false,book,1.0568350456439696,1.0563601980287515,1.0573098932591877,0.08986220076166330623564057,0.0422412734626579529398842718,0.0705967,694.0892381596481191688588860923,0.0705969,0.07464269508037119091387,0.04462510000000000074778205287356557849580189,0.07464269508037119091387,0.04462510000000000074778205287356557849580189,0.07464269508037119091387,0.04462510000000000074778205287356557849580189,0.07464269508037119091387,1.5852525684659544,true,0.07464269508037119091387,2.1136700912879392,true,0.07464269508037119091387,11.6251855020836656,true,0.07464269508037119091387,106.7403396100409296,true,2147483647,0.07464269508037119091387,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
