trade_id,operation_id,fill_index,ledger_seq,closed_at,trade_type,price_n,price_d,price_quote_per_base,base_amount,counter_amount,base_is_seller,base_account,counter_account,base_offer_id,counter_offer_id,liquidity_pool_id
262109106612625409-1,262109106612625409,1,61027032,2026-02-01T00:03:32Z,orderbook,1580915497,1496341922,1.0565202202494999,0.1715047,0.1811982,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBAMEXG5GVDFPEYKW3BLOZHZC2QN7K6DI5DN6EHP5WX4U3AZQENSMECJ,1821496418,4873795125040013313,
262109136677183489-1,262109136677183489,1,61027039,2026-02-01T00:04:15Z,orderbook,1580915497,1496341922,1.0565202202494999,0.0171595,0.0181294,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GCY7AY7OOO2XKZUCKLOZL3MJ62DW5UNL3ISFWDEDEEJM7JFGYZEUS55Z,1821496418,4873795155104571393,
262109716497694721-2,262109716497694721,2,61027174,2026-02-01T00:17:20Z,orderbook,1914088172,1811672127,1.0565312252,0.0055081,0.0058195,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GB7FZIUYDPOVOGCNCCKEG46MK45WPKXPXA5AWLRTTDKFCPRNPY67EILI,1821517868,4873795734925082625,
262110085864882177-0,262110085864882177,0,61027260,2026-02-01T00:25:41Z,orderbook,1914088172,1811672127,1.0565312252,0.0392122,0.041429,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GAG2KBHTPWUFOFS6PEHGZDZSGIQ5KAE4LNEGMUCTBKGZMHAJ5EXJBARS,1821517868,4873796104292270081,
262110635620544513-0,262110635620544513,0,61027388,2026-02-01T00:38:00Z,orderbook,1914088172,1811672127,1.0565312252,0.0088915,0.0093942,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GCP7AABE54MNRUUE5QXLF4XSV3HLNYGUTC6A4GNAESEISO4KNWLJNB2W,1821517868,4873796654047932417,
262110764470329345-0,262110764470329345,0,61027418,2026-02-01T00:40:54Z,orderbook,782759057,741543395,1.0555809171491575,3.2389975,3.4190239,false,GATVFSGEEPPTV2DFM76WE6LVTKH7QTL4TSLX6L3T7BL3UC2VXRCVTBWS,GBPFB6XNLDMXQKOFJAH6IRTOMTEUU4ZWFHNRMYWZNXCZEDNE6UU66WSG,4873796782897717249,1821466016,
262110764470329346-0,262110764470329346,0,61027418,2026-02-01T00:40:54Z,orderbook,782759057,741543395,1.0555809171491575,0.0000942,0.0000995,false,GATVFSGEEPPTV2DFM76WE6LVTKH7QTL4TSLX6L3T7BL3UC2VXRCVTBWS,GBPFB6XNLDMXQKOFJAH6IRTOMTEUU4ZWFHNRMYWZNXCZEDNE6UU66WSG,4873796782897717250,1821466016,
262110764470329346-1,262110764470329346,1,61027418,2026-02-01T00:40:54Z,orderbook,782759057,741543495,1.0555807748000001,0.0161821,0.0170815,false,GATVFSGEEPPTV2DFM76WE6LVTKH7QTL4TSLX6L3T7BL3UC2VXRCVTBWS,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,4873796782897717250,1821517867,
262111546154283009-2,262111546154283009,2,61027600,2026-02-01T00:58:30Z,orderbook,1914088172,1811672127,1.0565312252,0.0035498,0.0037505,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GCVOKGO6CFRNEIQ4Q5BUIVPXY3TLPEK3AYGCRWGXDY7O34MUQU73ZXLM,1821517868,4873797564581670913,
262111876866469889-3,262111876866469889,3,61027677,2026-02-01T01:06:00Z,orderbook,782759057,741543495,1.0555807748000001,0.0860185,0.0907994,false,GBAMEXG5GVDFPEYKW3BLOZHZC2QN7K6DI5DN6EHP5WX4U3AZQENSMECJ,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,4873797895293857793,1821517867,
