trade_id,operation_id,fill_index,ledger_seq,closed_at,trade_type,price_n,price_d,price_quote_per_base,base_amount,counter_amount,base_is_seller,base_account,counter_account,base_offer_id,counter_offer_id,liquidity_pool_id,liquidity_pool_side,liquidity_pool_fee_bp
273765875486744579-1,273765875486744579,1,63741085,2026-08-01T00:02:30Z,orderbook,857026203,800000000,1.07128275375,0.0004266,0.0004571,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885451893914132483,,,0
273765901256896514-1,273765901256896514,1,63741091,2026-08-01T00:03:04Z,orderbook,857026203,800000000,1.07128275375,0.0077517,0.0083043,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885451919684284418,,,0
273766098825183236-1,273766098825183236,1,63741137,2026-08-01T00:07:24Z,orderbook,857026203,800000000,1.07128275375,0.000427,0.0004575,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452117252571140,,,0
273766103120338948-1,273766103120338948,1,63741138,2026-08-01T00:07:29Z,orderbook,857026203,800000000,1.07128275375,0.000427,0.0004575,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452121547726852,,,0
273766141775097860-1,273766141775097860,1,63741147,2026-08-01T00:08:19Z,orderbook,857026203,800000000,1.07128275375,0.000427,0.0004575,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452160202485764,,,0
273766193314324483-1,273766193314324483,1,63741159,2026-08-01T00:09:27Z,orderbook,857026203,800000000,1.07128275375,0.0004271,0.0004576,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452211741712387,,,0
273766236263940099-1,273766236263940099,1,63741169,2026-08-01T00:10:23Z,orderbook,857026203,800000000,1.07128275375,0.0004271,0.0004576,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452254691328003,,,0
273766283508482050-1,273766283508482050,1,63741180,2026-08-01T00:11:26Z,orderbook,857026203,800000000,1.07128275375,0.0004271,0.0004576,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452301935869954,,,0
273766330753359875-1,273766330753359875,1,63741191,2026-08-01T00:12:26Z,orderbook,857026203,800000000,1.07128275375,0.0004271,0.0004576,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452349180747779,,,0
273766373703061507-1,273766373703061507,1,63741201,2026-08-01T00:13:22Z,orderbook,857026203,800000000,1.07128275375,0.0004271,0.0004576,true,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,GBTEZE3JLLRBS5NFXRPQU675AFLC3L7P2CXDOIM4333AUNCZ2NUA2EKV,1851089473,4885452392130449411,,,0
