rank,account_id,balance,share_pct,cumulative_pct,trades_total,trades_as_base,trades_as_counter,ever_traded,snapshot_min_ledger,snapshot_max_ledger,methodology_version
1,GA727XJUNMXMB4SSU3D4CIXZ5A4XK35WJAFNNSDHY3O5462WILRYCSAS,9549864.6630000,91.5406,91.5406,0,0,0,false,64211133,64211152,1.0.5-draft
2,GABFRFPYM2BXM4OM2ZA4YDBWY4CMPVESHQMKXSM47MWWJD4TW2KQDWWN,466575.1270394,4.4724,96.0130,55199,22287,32912,true,64211133,64211152,1.0.5-draft
3,GBFECMJNPWZ3HB2IUCQVZB7PLLOEFETFEM4NZF42V7ALA7ER63WZHL4R,345090.0000000,3.3079,99.3208,0,0,0,false,64211133,64211152,1.0.5-draft
4,GBSYZQFWRQYATCRHREJ5HE55DK6DQU26QSPCBSOHM2YILGOLFYZNNQSV,46889.9441205,0.4495,99.7703,0,0,0,false,64211133,64211152,1.0.5-draft
5,GA6PLM43TPTJLPCCW5YX3VH6U43JKCFTDETPDZVHCMOHOTV23EOIFIFO,14135.3769581,0.1355,99.9058,0,0,0,false,64211133,64211152,1.0.5-draft
6,GDQQBII7E3LJJALSQ2YMOVKV3SJ57XO4YWBDWIPRWEV3HN4P36V642VN,1391.7955400,0.0133,99.9191,0,0,0,false,64211133,64211152,1.0.5-draft
7,GB526LHGOEWPCJ46XJO7BYYZY53OKK3HA4XZO4YFARZUQ7KX5BP6SXFZ,964.1415519,0.0092,99.9284,0,0,0,false,64211133,64211152,1.0.5-draft
8,GAIN2HU2ITUZPLGNWSH7JXXROL7MYIWDYXCUQDMQVJXFBEBPETSZYHNF,915.9913951,0.0088,99.9372,2,2,0,true,64211133,64211152,1.0.5-draft
9,GCTSFIICPYZW2R6HWA25IWDHQYSFBJJUAXVYHGUQ7K64G54ZQ6OOJUF6,559.0000000,0.0054,99.9425,0,0,0,false,64211133,64211152,1.0.5-draft
10,GDAQL5DLEB6MU77BZQPJVIHCHM4UEGIAK3AYIE5UXBZI26AGWGEGCFYI,520.8811947,0.0050,99.9475,0,0,0,false,64211133,64211152,1.0.5-draft
11,GDDAEATAA6K4P4BUP3SHIAZDCJGOQPPQTMVTSNQSSXUBRI2BNSAXTK4F,323.7181758,0.0031,99.9506,3,3,0,true,64211133,64211152,1.0.5-draft
12,GCSM6QASLFOSOPBOQLOQ3YBOJOZQBHVLXCP3PWCUNB2X342IX2HQ622F,261.2420203,0.0025,99.9531,5,0,5,true,64211133,64211152,1.0.5-draft
13,GBLKUBEVO32TVGPMCOVD4YC3CYXRSAELNHFUZNBDKC2UAMMCKPACRYFJ,243.2384427,0.0023,99.9555,9,9,0,true,64211133,64211152,1.0.5-draft
14,GC4MTAPQBCMQTBNBF5NIQ2XEMPK2NMPG6EXK7WN4Y33IQEUGJBIATKYQ,239.4837727,0.0023,99.9577,0,0,0,false,64211133,64211152,1.0.5-draft
15,GBIIUZH63Z262QXGKJIP3ZU5DS7L4L2TBTYGPXRIGQXZAF25A72YNULL,231.1386629,0.0022,99.9600,0,0,0,false,64211133,64211152,1.0.5-draft
16,GDSANA2XZQJLPEWXKAF5XYOFYNJXCDQNFUJMW3EVGASIAXALG65YIHXC,213.5163169,0.0020,99.9620,1,0,1,true,64211133,64211152,1.0.5-draft
17,GA4XQJFTIVONNM2MXU5ICJU2HSRVNK6O45EJO7SJF43OXW4TDWQOQZ4W,210.0206515,0.0020,99.9640,0,0,0,false,64211133,64211152,1.0.5-draft
18,GD3EXP7GTMP7UFHPOR4O24EUH7S6VDKT7UAC4GDGPNFOBU3SAOFCPVTH,201.8141815,0.0019,99.9660,173,145,28,true,64211133,64211152,1.0.5-draft
19,GCZDBHS222RKZS2FJDM4K7JSABSIVD7UKIPPMFDSGHFKWSESFLUKDH6E,200.3721886,0.0019,99.9679,0,0,0,false,64211133,64211152,1.0.5-draft
20,GA2TF2USBWNTXCLFMDO3ELIYOUYOIZTKXLRMXKZQJ62RT52JPJP5MQTU,197.1997633,0.0019,99.9698,0,0,0,false,64211133,64211152,1.0.5-draft
21,GDUBQRBBJFWKBE4W5NHU5VLTM3JYZC3DQTEU6GJ3AA2LO3AMX64Q5YF5,196.7973341,0.0019,99.9717,0,0,0,false,64211133,64211152,1.0.5-draft
22,GAUMR5CVUAQZTJBJV76GLJYFOGPHLDVCWOP3DNV7X7NFM5YVW7JO54MM,185.5672739,0.0018,99.9734,0,0,0,false,64211133,64211152,1.0.5-draft
23,GBJVFNHCXF5Y6CUUZELAVNKISAZJYHRWFEMH6MTBSWBYSWZ35KQL5K6O,184.2710753,0.0018,99.9752,0,0,0,false,64211133,64211152,1.0.5-draft
24,GCWAUSZKOQYTRTNVILVWSZI53ZGHWZT62LXFHGXZ5PKKYA2RLABJSK76,177.7356033,0.0017,99.9769,0,0,0,false,64211133,64211152,1.0.5-draft
25,GAHFRPFLF4JKXXK3INKOB55HTMH5B5ISQRODFHBG2QLR6PVT7A6MX4L5,116.0000000,0.0011,99.9780,0,0,0,false,64211133,64211152,1.0.5-draft
26,GDKQWPE775U3FWEOMUC7DULO5FERKOG3OIMP6VBSYH4G6GBB6NSRBX3P,111.0000000,0.0011,99.9791,0,0,0,false,64211133,64211152,1.0.5-draft
27,GBGUVD4H2YMRIG46J7GX52UZ4D3GZGB5QGNM6GRSK2UDA2L7MX4ZAVZW,100.0192440,0.0010,99.9800,0,0,0,false,64211133,64211152,1.0.5-draft
28,GAJOHTMJLT5JRLVP2YHCS32H3YRYVGWULJZSBBASDPDI5CJ6MOQU2U2S,100.0000000,0.0010,99.9810,0,0,0,false,64211133,64211152,1.0.5-draft
29,GB7AAAHBTSVLH3WHYDCPJ2DPW2WT2TZ2OISEXJAMWIZ66UUGC3CTGXK2,100.0000000,0.0010,99.9820,0,0,0,false,64211133,64211152,1.0.5-draft
30,GBZFR2UHPVIRLEUVDMACYWXB72S7XXG6WV7BIRTAQEEOXBN5YFFPB2TX,100.0000000,0.0010,99.9829,0,0,0,false,64211133,64211152,1.0.5-draft
31,GCNFPTPLOR4O6WSTMF6FEOODRUNXYEWSVRCRU5UHPI55JTAGEX3ZSNQJ,100.0000000,0.0010,99.9839,0,0,0,false,64211133,64211152,1.0.5-draft
32,GD4JYD3ND3VMNWVGYBUGY63DV245Z2D73DCPEV2IDDHPNGXPYSBFWYRS,100.0000000,0.0010,99.9848,0,0,0,false,64211133,64211152,1.0.5-draft
33,GDJTPPRH3SWEYKZPV7556W2L2TISIGX7Y4HWR5A36D7BQONJG432SQIW,100.0000000,0.0010,99.9858,0,0,0,false,64211133,64211152,1.0.5-draft
34,GBIIQ4BDCWCXGID5DM5ZDEROYF67CW6JERCWWSWIFNVFYGS6RFCDC2NR,92.2517015,0.0009,99.9867,0,0,0,false,64211133,64211152,1.0.5-draft
35,GBGZYDBTXYZDKZOONV5KEHTWQUGFRYUMXJR3PA5DLHFKSILI6DH7YMGP,81.4807152,0.0008,99.9875,0,0,0,false,64211133,64211152,1.0.5-draft
36,GD7KNANCTIS7NU2OC36BAJ4CG2QJLYL44A3H4UQIMHSKTDCVKGACHDEE,60.9999987,0.0006,99.9880,0,0,0,false,64211133,64211152,1.0.5-draft
37,GA23C2NY7WGU7AGBRKI2E4X2HDZRZGY7VUZZ4SZIVFV2RND3TG3YSUQE,60.2116574,0.0006,99.9886,0,0,0,false,64211133,64211152,1.0.5-draft
38,GAVFVV43FQZYUY6QHOAE4RSV2DVWMUR2EK53ZUVBCQSSPIV3AT4UD4C5,50.0000000,0.0005,99.9891,0,0,0,false,64211133,64211152,1.0.5-draft
39,GAZVCT6XA33ZKBAWJDDWI5JLRSC3P4ATZLBWUXIJDS2K47MG4OU2NN6F,50.0000000,0.0005,99.9896,0,0,0,false,64211133,64211152,1.0.5-draft
40,GCRBX3WJZI7ZK3NNDQVTJBS3BQDCEGVLMLNGDD32FS7PLHTDLCXS4PIK,48.9569100,0.0005,99.9900,0,0,0,false,64211133,64211152,1.0.5-draft
41,GCVDNVG3ODDKGW6CJQT6SPYOY4BDM6APW6DJJRN64K7AYOJ7RNS7A6SU,47.4553814,0.0005,99.9905,0,0,0,false,64211133,64211152,1.0.5-draft
42,GDFPIIQJMXMWXGULQSLVEVY5HZUDHROXLATFG4XBS7PJCJT6JXAIDFCN,46.2507485,0.0004,99.9909,10954,6189,4765,true,64211133,64211152,1.0.5-draft
43,GAYQEMKU26X5LCD3VC2VOJQU45X5UIVVLP6MRBU5MRWRHLBG7TJGSPBU,44.8316335,0.0004,99.9914,0,0,0,false,64211133,64211152,1.0.5-draft
44,GCSQUD3IFQPNCFURAZWPSRKJCXNDOZRMPBFTLPLJDNHG64JM2NGC62D7,41.6544382,0.0004,99.9918,0,0,0,false,64211133,64211152,1.0.5-draft
45,GDIZB76ZGVW2NJAC3KTEHWRJHY47R6UXGMWOIYRZOSAINM6CTCI5LHLZ,40.0000000,0.0004,99.9922,0,0,0,false,64211133,64211152,1.0.5-draft
46,GBIGPYSY64GXPHAU4VCTR4OHTE7TPWNO2G4CIXKJGDGYJSMY65PUIYPZ,35.8826215,0.0003,99.9925,0,0,0,false,64211133,64211152,1.0.5-draft
47,GC6TJHLFFOF4CSNROJSOIGGN7HSY3OFK3NICVJXIAVDNWGNTXKNRQFZR,31.4662481,0.0003,99.9928,0,0,0,false,64211133,64211152,1.0.5-draft
48,GAOHZB5V4ZVCYHR2Q62BIHC32SRLTRAERTMZQULC7DMZYTBX4PGFF55E,30.6432398,0.0003,99.9931,0,0,0,false,64211133,64211152,1.0.5-draft
49,GBVPXC6OOFZ7RYW5W6XFA5GQZVHT5BEXQLGFCTWVXI4XASTXES5GZYPZ,28.4833675,0.0003,99.9934,0,0,0,false,64211133,64211152,1.0.5-draft
50,GBUCZSRLGA5MBYINFIQTB3RILKHNMV64BVQ67C5F7VXR2K7M33WUJP3E,26.9572142,0.0003,99.9936,0,0,0,false,64211133,64211152,1.0.5-draft
51,GDKHAIKWHNVFZJBJQPQRIRCJ35ES2F3ZVRWRHIVLCHI2GOBXQATFLW7M,25.0782490,0.0002,99.9939,0,0,0,false,64211133,64211152,1.0.5-draft
