account_id,trustline_status,balance,traded_in,trades_total,trades_as_base,trades_as_counter,snapshot_min_ledger,snapshot_max_ledger,methodology_version
GA2FOVTYGQEL26I3EJFQV3LWURSNRATCLVAWMXDBTY5E6XPT3TSV22G6,holds a non-zero balance,0.0009372,2026-02,3,3,0,64211133,64211152,1.0.5-draft
GA2X4GX5DEW7FANH4AFVULQJ3SAQCGYVCL6N3OA7RGCEHKIWIJCZHPWV,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GA36GCRWHPEQO67IGCBYSTKFPY4KUFJX65CFP6B6BSOEDFWQJEGB4A4V,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GA3MZAUSXUJFLEQEMIK5QZXZJOT3XUIEHOK7OVGGOSSFFWTF2LVDC7X3,no trustline at pull,,2026-02 + 2026-08,9,9,0,64211133,64211152,1.0.5-draft
GA3NU3WXKKU4SJMZF6RQZOD2MIOCRQ77IT53TXTJPNPP3GPDEPKJYLAN,holds a non-zero balance,0.0000004,2026-02,2,2,0,64211133,64211152,1.0.5-draft
GA52GNORRIE2ZNLIYV7TQMA75LCQDIMVUOACGEKPQTKE47CNOXLODWAS,no trustline at pull,,2026-02 + 2026-08,10,7,3,64211133,64211152,1.0.5-draft
GA542INWZHMZHP4UPJZ7MG45BZQRVMCIONWVSXVBCQMZ7XAEJL2YOJWF,no trustline at pull,,2026-02 + 2026-08,8,4,4,64211133,64211152,1.0.5-draft
GA5RBG3ZICYRHJ6WDAWCIV6GSKKRCT2CKUQUWDBMRYFD7TJ4NMY77CQV,no trustline at pull,,2026-02 + 2026-08,5,3,2,64211133,64211152,1.0.5-draft
GA65TDIOSBUMEOVKV4HRQWTTJMCKDCH3XK7TOVBXXD6FGQMVUPRISXWD,no trustline at pull,,2026-02,15,8,7,64211133,64211152,1.0.5-draft
GA6OFJO6XCCOYRWE6CWLRYBIYMNBBODAHKDHJYP42KMXMPBFQZNI4Y7C,no trustline at pull,,2026-02,1,1,0,64211133,64211152,1.0.5-draft
GA6QBLU7CMZ7XTQYPXS253323YBTKRP2YU2BUQP4VFUKUQGEXNGIOXSM,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GA6SYMFVLA74WVIHZNGLDQHET4APUQ5RDWX3Q46I56FC55PCI22PCLXY,no trustline at pull,,2026-02,59,27,32,64211133,64211152,1.0.5-draft
GA6U5JBVNTC2EKQHPZ5MEDZGJCWXLKPSJG5HAGFFMVA3UTXV5GVTWOVA,no trustline at pull,,2026-08,7,3,4,64211133,64211152,1.0.5-draft
GA6VKAKAQ6WTVZW5C45K773R7VWALJIBIHNGRVTRJA45PLKY5MN6GDOY,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
