verdict,pair,ledger,recorded_bids,recorded_asks,rebuilt_bids,rebuilt_asks,levels_match,prices_match,amounts_match,risk_match,offers_carried,offers_changed_after_target,offers_gone_unresolved,requests,explanation,error,recording,methodology_version,recorded_at,rebuilt_at,elapsed_seconds
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,200,200,723,1123,yes,no,yes,yes,4329,75,14,30,"bid 0 price differs: recorded 91987/499995, rebuilt 1830893/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:28Z,2026-09-06T14:42:28Z,300.005
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,66,89,50,73,no,no,yes,no,132,34,2,6,"level counts differ: recorded 66 bid / 89 ask, rebuilt 50 bid / 73 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:28Z,2026-09-06T14:42:36Z,308.965
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,23,17,21,11,no,no,yes,no,36,6,1,6,"level counts differ: recorded 23 bid / 17 ask, rebuilt 21 bid / 11 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:29Z,2026-09-06T14:42:38Z,309.675
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,11,5,8,5,no,no,yes,no,18,5,0,6,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:30Z,2026-09-06T14:42:40Z,310.296
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,6,23,6,23,yes,yes,yes,yes,30,0,0,5,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:30Z,2026-09-06T14:42:41Z,311.94
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:31Z,2026-09-06T14:42:43Z,312.488
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,55,200,55,307,yes,no,yes,yes,490,7,0,8,"ask 2 price differs: recorded 224679/644703013, rebuilt 697/2000000",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:31Z,2026-09-06T14:42:45Z,314.063
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302069,15,11,14,10,no,no,yes,no,28,2,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 10 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302069.json.gz,1.0.8-draft,2026-09-06T14:37:32Z,2026-09-06T14:42:47Z,315.406
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302090,200,200,736,1123,yes,no,yes,yes,4342,64,10,30,"bid 0 price differs: recorded 18388161/100000000, rebuilt 1830893/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302090.json.gz,1.0.8-draft,2026-09-06T14:39:28Z,2026-09-06T14:44:28Z,300.003
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302090,64,89,57,66,no,no,yes,no,132,34,2,6,"level counts differ: recorded 64 bid / 89 ask, rebuilt 57 bid / 66 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302090.json.gz,1.0.8-draft,2026-09-06T14:39:29Z,2026-09-06T14:44:36Z,307.982
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302090,23,16,21,11,no,no,yes,no,36,6,1,6,"level counts differ: recorded 23 bid / 16 ask, rebuilt 21 bid / 11 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302090.json.gz,1.0.8-draft,2026-09-06T14:39:30Z,2026-09-06T14:44:38Z,308.539
